;Pays;Unite;Annee;PIB
127;CHE;USD_CAP;2019;72033,94868
128;CHE;USD_CAP;2020;71731,95161
129;CHE;USD_CAP;2021;76902,37665
130;TUR;USD_CAP;2017;28193,0614
131;TUR;USD_CAP;2018;28281,47328
132;TUR;USD_CAP;2019;27144,22356
133;TUR;USD_CAP;2020;27547,04064
134;GBR;USD_CAP;2017;46385,63354
135;GBR;USD_CAP;2018;47590,88899
136;GBR;USD_CAP;2019;49070,33313
137;GBR;USD_CAP;2020;46526,87959
138;GBR;USD_CAP;2021;51374,11018
139;USA;USD_CAP;2017;59896,75604
140;USA;USD_CAP;2018;62783,97854
141;USA;USD_CAP;2019;65055,78537
142;USA;USD_CAP;2020;63285,23226
143;CHL;USD_CAP;2017;24402,00538
144;CHL;USD_CAP;2018;25657,64657
145;CHL;USD_CAP;2019;25280,37735
146;CHL;USD_CAP;2020;24689,38678
147;CHN;USD_CAP;2017;14203,90906
148;CHN;USD_CAP;2018;15468,13814
149;CHN;USD_CAP;2019;16699,07096
150;CHN;USD_CAP;2020;17189,84648
151;COL;USD_CAP;2017;14479,81254
152;COL;USD_CAP;2018;15439,04141
153;COL;USD_CAP;2019;16130,8473
154;COL;USD_CAP;2020;15306,34172
155;EST;USD_CAP;2017;33867,80354
156;EST;USD_CAP;2018;36327,52792
157;EST;USD_CAP;2019;37909,46747
158;EST;USD_CAP;2020;37659,45231
159;EST;USD_CAP;2021;42910,9891
160;IND;USD_CAP;2017;6299,036721
161;IND;USD_CAP;2018;6804,352631
162;IND;USD_CAP;2019;7130,50381
163;IDN;USD_CAP;2017;11050,88237
164;ISR;USD_CAP;2017;39137,376
165;ISR;USD_CAP;2018;39914,21747
166;ISR;USD_CAP;2019;40020,38733
167;ISR;USD_CAP;2020;39492,61835
168;RUS;USD_CAP;2017;25926,4314
169;RUS;USD_CAP;2018;28821,2429
170;RUS;USD_CAP;2019;29967,11935
171;RUS;USD_CAP;2020;29819,04697
172;SVN;USD_CAP;2017;36517,57927
173;SVN;USD_CAP;2018;38998,00776
174;SVN;USD_CAP;2019;40658,63174
175;SVN;USD_CAP;2020;39718,05182
176;SVN;USD_CAP;2021;44221,95132
177;ZAF;USD_CAP;2017;12952,21634
178;ZAF;USD_CAP;2018;13193,17978
179;ZAF;USD_CAP;2019;13219,8029
180;ZAF;USD_CAP;2020;12289,91345
181;OECD;USD_CAP;2017;43486,30343
182;OECD;USD_CAP;2018;45189,83976
183;OECD;USD_CAP;2019;46114,86742
184;OECD;USD_CAP;2020;45025,08695
185;OECDE;USD_CAP;2017;42601,25114
186;OECDE;USD_CAP;2018;44226,18811
187;OECDE;USD_CAP;2019;45118,31442
188;OECDE;USD_CAP;2020;43845,41576
189;LVA;USD_CAP;2017;28689,57466
190;LVA;USD_CAP;2018;30891,88419
191;LVA;USD_CAP;2019;31893,84669
192;LVA;USD_CAP;2020;31418,0308
